Country,Exports,Imports,Gross_Deals,Normalized_Exports,Normalized_Imports,Normalized_Gross,Country_Score,Aircraft_Score,Specialized Equipment_Score,Missiles/Rockets/Bombs_Score,Helicopters_Score,Unmanned Vehicles_Score,Ground Vehicles/Artillery_Score,Radar/Detection Systems_Score,Naval Vessels_Score,ZZ_loop_score
United States,752270.38,42010.47,794280.85,1.0,0.29969648312501534,1.0,78.991,75.299,100.0,81.471,78.385,70.946,58.469,79.706,59.521,75.299
Soviet Union,373140.03,21974.87,395114.9,0.4960185060057795,0.15676547432412458,0.4974498629798264,39.467,30.641000000000002,1.421,21.605,23.605,21.845,75.672,21.23,47.469,30.641000000000002
India,1028.96,140176.72,141205.68,0.0013678060805743808,1.0,0.17777802398232312,35.388,34.443,17.726,33.550999999999995,18.269,30.0,36.725,39.884,40.934,34.443
Saudi Arabia,170.04000000000002,84180.94,84350.98,0.00022603575060339346,0.600534382599336,0.10619792734522052,21.211,21.109,4.623,34.481,12.8,12.466000000000001,19.034000000000002,17.351,8.706999999999999,21.109
United Kingdom,102732.99,42200.34,144933.33000000002,0.1365639173510992,0.3010509876390316,0.18247113725579564,19.968,16.682,53.010000000000005,25.799,19.37,23.418,11.527999999999999,20.238999999999997,31.678,16.682
Japan,1556.1100000000001,75839.67,77395.78,0.002068551469486277,0.5410289953995214,0.09744132695632786,19.237000000000002,23.552,16.097,25.336,34.617,4.0009999999999994,2.9579999999999997,8.865,1.3259999999999998,23.552
Germany,103083.7,38447.909999999996,141531.61,0.1370301194099919,0.27428170669138213,0.17818837002050344,19.055,7.449999999999999,28.279,26.667999999999996,14.432,5.67,22.073999999999998,26.421,73.271,7.449999999999999
China,69970.22,47866.020000000004,117836.24,0.09301206302978458,0.34146911127610924,0.14835588696366028,18.415,13.443,32.955,20.465,13.786999999999999,47.591,14.344000000000001,19.552,37.795,13.443
Egypt,1084.79,71970.87,73055.65999999999,0.0014420214178843516,0.5134295480733178,0.09197711363682001,18.22,14.927000000000001,4.2299999999999995,17.599999999999998,15.091,14.136000000000001,26.46,10.533,20.388,14.927000000000001
South Korea,20014.69,58240.19,78254.88,0.026605713227736014,0.4154769065790668,0.09852293429962464,16.483999999999998,14.205000000000002,18.218999999999998,15.887,12.258,6.825,20.366999999999997,10.283000000000001,20.044999999999998,14.205000000000002
Turkiye,5693.45,58095.54,63788.99,0.0075683559413837346,0.4144449948607729,0.08031037132520569,15.145,12.689,5.906000000000001,11.618,13.633999999999999,24.024,13.941999999999998,14.549000000000001,30.570999999999998,12.689
Russia,162672.4,1109.03,163781.43,0.21624193152467333,0.007911656086688288,0.20620090488144086,15.073,11.185,16.905,17.498,17.031,0.839,16.486,4.8340000000000005,23.781,11.185
France,139033.29,9002.93,148036.22,0.18481824314284448,0.0642255718353233,0.18637767736689106,14.911,11.248,22.012,14.299000000000001,15.347,13.655999999999999,9.038,29.268,35.812,11.248
Israel,24727.12,49838.78,74565.9,0.03286999017560681,0.35554248950895695,0.09387850657610591,14.796999999999999,18.407999999999998,7.305000000000001,12.305000000000001,8.200000000000001,49.446,10.884,19.537,12.046,18.407999999999998
Poland,9614.21,51001.14,60615.35,0.012780258608613567,0.3638345939325731,0.07631475692760313,13.716000000000001,8.458,3.113,20.602,12.06,13.874,26.817999999999998,2.7720000000000002,11.724,8.458
Iraq,216.70999999999998,53449.63,53666.34,0.0002880746148745083,0.3813017596645149,0.0675659497519045,13.478000000000002,10.118,0.662,12.258,10.213,7.973,27.496,3.6229999999999998,1.772,10.118
Pakistan,307.03,48748.99,49056.02,0.0004081378293799099,0.34776808873827264,0.06176155449297311,12.302,9.525,4.327,7.5,4.25,13.369,17.194000000000003,8.681,24.825,9.525
Iran,1001.31,48052.57,49053.88,0.0013310506788795804,0.3427999314008774,0.06175886023186886,12.19,11.468,1.897,13.635,14.599,0.434,15.770999999999999,2.493,8.453,11.468
Italy,44587.52,31268.9,75856.42,0.059270604273957986,0.22306771052996532,0.09550327192201599,11.927999999999999,9.467,8.984,7.478999999999999,17.448,4.737,11.814,18.839,24.603,9.467
Australia,3492.17,44992.99,48485.159999999996,0.004642174001321174,0.32097333993832927,0.06104284145840857,11.645999999999999,12.715000000000002,7.95,7.406,10.96,1.8110000000000002,3.7220000000000004,5.337,25.476,12.715000000000002
Taiwan,258.52,43307.75,43566.27,0.0003436530360267541,0.3089510868851832,0.054849956410254634,10.928,10.262,4.6899999999999995,9.182,8.157,1.08,4.8919999999999995,6.601,22.236,10.262
Greece,224.22,40832.82,41057.04,0.0002980577275952298,0.2912953021015187,0.05169083454548854,10.302,9.515,2.32,7.638,6.76,1.256,9.99,4.6129999999999995,19.326,9.515
Syria,466.46,39258.49,39724.95,0.0006200696084830563,0.28006426459400674,0.050013732548128284,9.927,5.991,0.294,15.988,3.8510000000000004,6.425,21.407999999999998,2.781,2.099,5.991
Netherlands,27285.99,27730.57,55016.56,0.03627151982243406,0.19782578733473005,0.06926587742861987,9.464,7.249999999999999,4.4990000000000006,8.622,7.417,6.370000000000001,11.081000000000001,31.334,18.034,7.249999999999999
Canada,11533.37,30322.05,41855.42,0.015331415813553633,0.21631302259034166,0.0526959953774537,8.684,11.498,10.735,4.705,7.813000000000001,11.681,6.300999999999999,8.911,3.406,11.498
Algeria,12.06,33663.9,33675.96,1.6031469961637995e-05,0.24015328650862997,0.04239805101684121,8.477,6.917,1.202,5.912,7.7410000000000005,9.584,12.863,2.054,8.201,6.917
UAE,1458.34,32767.51,34225.85,0.0019385849008171769,0.23375857275016848,0.043090362810585196,8.383000000000001,5.8999999999999995,1.994,15.551,8.703,13.847999999999999,8.718,5.045999999999999,6.8500000000000005,5.8999999999999995
Spain,19796.19,26091.28,45887.47,0.026315259149243653,0.1861313347894001,0.057772348407997,8.37,5.721,12.873999999999999,6.329999999999999,8.993,10.468,5.2909999999999995,9.824,24.9,5.721
Libya,1425.5,31059.74,32485.24,0.0018949303839398807,0.2215755940073359,0.04089893392242807,7.95,6.757000000000001,3.037,8.914,3.386,1.482,14.11,1.796,6.296,6.757000000000001
Czechoslovakia,22012.04,20549.46,42561.5,0.029260809125569987,0.1465968100837286,0.05358495046179195,7.176,7.811,0.166,4.944,3.086,2.268,14.143,2.466,,7.811
Viet Nam,35.68,27417.95,27453.63,4.742975524305503e-05,0.19559560246523103,0.03456413433611046,6.907000000000001,4.4350000000000005,0.625,9.719,3.118,0.819,7.475,6.719,11.368,4.4350000000000005
East Germany (GDR),697.88,26495.21,27193.09,0.0009276983629210551,0.18901291170174334,0.03423611434167147,6.734999999999999,4.977,0.345,8.776,3.6189999999999998,8.526,12.149000000000001,1.601,4.189,4.977
Indonesia,708.67,22922.68,23631.35,0.0009420416100923713,0.16352701076184406,0.029751881843808774,5.836,3.3169999999999997,8.136000000000001,2.333,3.753,2.429,2.6020000000000003,4.611,16.774,3.3169999999999997
Singapore,1166.3600000000001,21831.73,22998.09,0.0015504531761572217,0.15574433472262728,0.028954607177045753,5.603000000000001,5.242,3.58,4.566,4.797,2.105,2.342,6.052,11.913,5.242
Brazil,5113.24,19081.45,24194.690000000002,0.006797077401877766,0.13612424374033008,0.030461127194492985,5.269,3.283,4.936,1.951,6.107,2.5,3.7859999999999996,7.298,16.02,3.283
