,Country,Metric Name,Metric Value
2062,ANC (South Africa)*,Aircraft_Score,
1801,ANC (South Africa)*,Country_Score,0.0
235,ANC (South Africa)*,Exports,0.0
757,ANC (South Africa)*,Gross_Deals,0.0
3367,ANC (South Africa)*,Ground Vehicles/Artillery_Score,
2845,ANC (South Africa)*,Helicopters_Score,
496,ANC (South Africa)*,Imports,0.24
2584,ANC (South Africa)*,Missiles/Rockets/Bombs_Score,0.0
3889,ANC (South Africa)*,Naval Vessels_Score,
1018,ANC (South Africa)*,Normalized_Exports,0.0
1540,ANC (South Africa)*,Normalized_Gross,0.0
1279,ANC (South Africa)*,Normalized_Imports,1.7121245239580438e-06
3628,ANC (South Africa)*,Radar/Detection Systems_Score,
2323,ANC (South Africa)*,Specialized Equipment_Score,
3106,ANC (South Africa)*,Unmanned Vehicles_Score,
4150,ANC (South Africa)*,ZZ_loop_score,
1877,Afghanistan,Aircraft_Score,2.205
1616,Afghanistan,Country_Score,3.227
50,Afghanistan,Exports,0.0
572,Afghanistan,Gross_Deals,0.0
3182,Afghanistan,Ground Vehicles/Artillery_Score,5.475
2660,Afghanistan,Helicopters_Score,6.468999999999999
311,Afghanistan,Imports,15079.26
2399,Afghanistan,Missiles/Rockets/Bombs_Score,5.125
3704,Afghanistan,Naval Vessels_Score,
833,Afghanistan,Normalized_Exports,0.0
1355,Afghanistan,Normalized_Gross,0.0
1094,Afghanistan,Normalized_Imports,0.10757321187141489
3443,Afghanistan,Radar/Detection Systems_Score,0.334
2138,Afghanistan,Specialized Equipment_Score,0.11199999999999999
2921,Afghanistan,Unmanned Vehicles_Score,0.7779999999999999
3965,Afghanistan,ZZ_loop_score,2.205
1999,African Union**,Aircraft_Score,
1738,African Union**,Country_Score,0.019
172,African Union**,Exports,0.0
694,African Union**,Gross_Deals,0.0
3304,African Union**,Ground Vehicles/Artillery_Score,0.053
2782,African Union**,Helicopters_Score,0.11399999999999999
433,African Union**,Imports,88.58
2521,African Union**,Missiles/Rockets/Bombs_Score,
3826,African Union**,Naval Vessels_Score,
955,African Union**,Normalized_Exports,0.0
1477,African Union**,Normalized_Gross,0.0
1216,African Union**,Normalized_Imports,0.0006319166263841813
3565,African Union**,Radar/Detection Systems_Score,
2260,African Union**,Specialized Equipment_Score,
3043,African Union**,Unmanned Vehicles_Score,0.011000000000000001
4087,African Union**,ZZ_loop_score,
1910,Albania,Aircraft_Score,0.303
1649,Albania,Country_Score,0.559
83,Albania,Exports,1.2
605,Albania,Gross_Deals,2220.14
3215,Albania,Ground Vehicles/Artillery_Score,1.283
2693,Albania,Helicopters_Score,0.332
344,Albania,Imports,2218.94
2432,Albania,Missiles/Rockets/Bombs_Score,0.127
3737,Albania,Naval Vessels_Score,0.8869999999999999
866,Albania,Normalized_Exports,1.595171140461492e-06
1388,Albania,Normalized_Gross,0.0027951574055952626
1127,Albania,Normalized_Imports,0.01582958996329776
3476,Albania,Radar/Detection Systems_Score,
2171,Albania,Specialized Equipment_Score,
2954,Albania,Unmanned Vehicles_Score,0.259
3998,Albania,ZZ_loop_score,0.303
1852,Algeria,Aircraft_Score,6.917
1591,Algeria,Country_Score,8.477
25,Algeria,Exports,12.06
547,Algeria,Gross_Deals,33675.96
3157,Algeria,Ground Vehicles/Artillery_Score,12.863
2635,Algeria,Helicopters_Score,7.7410000000000005
286,Algeria,Imports,33663.9
2374,Algeria,Missiles/Rockets/Bombs_Score,5.912
3679,Algeria,Naval Vessels_Score,8.201
808,Algeria,Normalized_Exports,1.6031469961637995e-05
1330,Algeria,Normalized_Gross,0.04239805101684121
1069,Algeria,Normalized_Imports,0.24015328650862997
3418,Algeria,Radar/Detection Systems_Score,2.054
