,Country,Metric Scope,Metric Name,Value
0,Afghanistan,Import,Aircraft,3.161036727384533
1,Afghanistan,Export,Aircraft,0.0
2,Afghanistan,Overall,Aircraft,3.161
3,Albania,Import,Aircraft,0.434435200994688
4,Albania,Export,Aircraft,0.0
5,Albania,Overall,Aircraft,0.434
6,Algeria,Import,Aircraft,8.636647261384727
7,Algeria,Export,Aircraft,0.0017150853593469963
8,Algeria,Overall,Aircraft,8.638
9,Angola,Import,Aircraft,2.713779628942749
10,Angola,Export,Aircraft,0.00041564568657644036
11,Angola,Overall,Aircraft,2.714
12,Antigua and Barbuda,Import,Aircraft,0.00039184066901141063
13,Antigua and Barbuda,Export,Aircraft,0.0
14,Antigua and Barbuda,Overall,Aircraft,0.0
15,Argentina,Import,Aircraft,2.2329113086702086
16,Argentina,Export,Aircraft,0.010124253881451401
17,Argentina,Overall,Aircraft,2.243
18,Armenia,Import,Aircraft,0.2284285974162816
19,Armenia,Export,Aircraft,0.0006416986038373115
20,Armenia,Overall,Aircraft,0.22899999999999998
21,Aruba,Import,Aircraft,0.0
22,Aruba,Export,Aircraft,0.002595962533705488
23,Aruba,Overall,Aircraft,0.003
24,Australia,Import,Aircraft,15.63693886374306
25,Australia,Export,Aircraft,0.15984420540403868
26,Australia,Overall,Aircraft,15.797
27,Austria,Import,Aircraft,1.1031185589713455
28,Austria,Export,Aircraft,0.02250320331184027
29,Austria,Overall,Aircraft,1.126
30,Azerbaijan,Import,Aircraft,0.2624316599160496
31,Azerbaijan,Export,Aircraft,0.0
32,Azerbaijan,Overall,Aircraft,0.262
33,Bahamas,Import,Aircraft,0.00442634829809186
34,Bahamas,Export,Aircraft,3.500174202748972e-05
35,Bahamas,Overall,Aircraft,0.004
36,Bahrain,Import,Aircraft,1.105375270972504
37,Bahrain,Export,Aircraft,0.0
38,Bahrain,Overall,Aircraft,1.105
39,Bangladesh,Import,Aircraft,1.2131459675680127
40,Bangladesh,Export,Aircraft,0.0
41,Bangladesh,Overall,Aircraft,1.213
42,Barbados,Import,Aircraft,0.0006893493251126668
43,Barbados,Export,Aircraft,0.0
44,Barbados,Overall,Aircraft,0.001
45,Belarus,Import,Aircraft,0.6449842538101527
46,Belarus,Export,Aircraft,0.2336424616571651
47,Belarus,Overall,Aircraft,0.8789999999999999
48,Belgium,Import,Aircraft,6.530329514039945
49,Belgium,Export,Aircraft,0.11607890221641622
50,Belgium,Overall,Aircraft,6.646000000000001
51,Belize,Import,Aircraft,0.0017560267018659514
52,Belize,Export,Aircraft,0.0
53,Belize,Overall,Aircraft,0.002
54,Benin,Import,Aircraft,0.032326855193441376
55,Benin,Export,Aircraft,0.0
56,Benin,Overall,Aircraft,0.032
57,Biafra,Import,Aircraft,0.006458114730002879
58,Biafra,Export,Aircraft,0.0
59,Biafra,Overall,Aircraft,0.006
60,Bolivia,Import,Aircraft,0.27922275821405707
61,Bolivia,Export,Aircraft,0.0
62,Bolivia,Overall,Aircraft,0.27899999999999997
63,Botswana,Import,Aircraft,0.16828831103171546
64,Botswana,Export,Aircraft,0.0
65,Botswana,Overall,Aircraft,0.168
66,Brazil,Import,Aircraft,3.3722678732164253
67,Brazil,Export,Aircraft,0.47995263711644587
68,Brazil,Overall,Aircraft,3.852
69,Brunei,Import,Aircraft,0.05295654078602361
70,Brunei,Export,Aircraft,0.0
71,Brunei,Overall,Aircraft,0.053
72,Bulgaria,Import,Aircraft,4.257849554108269
73,Bulgaria,Export,Aircraft,0.031064046049397123
74,Bulgaria,Overall,Aircraft,4.289
75,Burkina Faso,Import,Aircraft,0.047804561619392096
76,Burkina Faso,Export,Aircraft,0.0
77,Burkina Faso,Overall,Aircraft,0.048
78,Burundi,Import,Aircraft,0.002909779782843993
79,Burundi,Export,Aircraft,0.0
80,Burundi,Overall,Aircraft,0.003
81,Cabo Verde,Import,Aircraft,0.024373940874246824
82,Cabo Verde,Export,Aircraft,0.0
83,Cabo Verde,Overall,Aircraft,0.024
84,Cambodia,Import,Aircraft,0.3424034379378043
85,Cambodia,Export,Aircraft,0.0
86,Cambodia,Overall,Aircraft,0.34199999999999997
87,Cameroon,Import,Aircraft,0.2148302749398486
88,Cameroon,Export,Aircraft,0.0
89,Cameroon,Overall,Aircraft,0.215
90,Canada,Import,Aircraft,13.26474996616535
91,Canada,Export,Aircraft,0.7223265750035519
92,Canada,Overall,Aircraft,13.987
93,Central African Republic,Import,Aircraft,0.07865838614969799
94,Central African Republic,Export,Aircraft,0.0
95,Central African Republic,Overall,Aircraft,0.079
96,Chad,Import,Aircraft,0.18399821933559884
97,Chad,Export,Aircraft,0.0
98,Chad,Overall,Aircraft,0.184
99,Chile,Import,Aircraft,2.0495806697336665
100,Chile,Export,Aircraft,0.006514699234866524
101,Chile,Overall,Aircraft,2.056
102,China,Import,Aircraft,12.241755567698155
103,China,Export,Aircraft,2.9984081883198113
104,China,Overall,Aircraft,15.24
105,Colombia,Import,Aircraft,1.0445166100280836
106,Colombia,Export,Aircraft,0.0006416986038373115
107,Colombia,Overall,Aircraft,1.045
108,Comoros,Import,Aircraft,0.0020027411971694315
109,Comoros,Export,Aircraft,0.0007292029589060358
110,Comoros,Overall,Aircraft,0.003
111,Congo,Import,Aircraft,0.18204627229922724
112,Congo,Export,Aircraft,0.0
113,Congo,Overall,Aircraft,0.182
114,Contras (Nicaragua)*,Import,Aircraft,0.009360638204161477
115,Contras (Nicaragua)*,Export,Aircraft,0.0
116,Contras (Nicaragua)*,Overall,Aircraft,0.009000000000000001
117,Costa Rica,Import,Aircraft,0.0022204304577313266
118,Costa Rica,Export,Aircraft,0.0
119,Costa Rica,Overall,Aircraft,0.002
120,Cote d'Ivoire,Import,Aircraft,0.11890913042759234
121,Cote d'Ivoire,Export,Aircraft,0.00014584059178120718
122,Cote d'Ivoire,Overall,Aircraft,0.11900000000000001
123,Croatia,Import,Aircraft,0.24799886194079596
124,Croatia,Export,Aircraft,0.00039376959780925943
125,Croatia,Overall,Aircraft,0.248
126,Cuba,Import,Aircraft,2.9273110246279117
127,Cuba,Export,Aircraft,0.004608562700286147
128,Cuba,Overall,Aircraft,2.932
129,Cyprus,Import,Aircraft,0.0030186244131249406
130,Cyprus,Export,Aircraft,0.0
131,Cyprus,Overall,Aircraft,0.003
132,Czechia,Import,Aircraft,1.357800481211392
133,Czechia,Export,Aircraft,0.20380931020240142
134,Czechia,Overall,Aircraft,1.562
135,Czechoslovakia,Import,Aircraft,6.680339183493146
136,Czechoslovakia,Export,Aircraft,2.02772383594837
137,Czechoslovakia,Overall,Aircraft,8.708
138,DR Congo,Import,Aircraft,0.7283011901358752
139,DR Congo,Export,Aircraft,0.003383501729324006
140,DR Congo,Overall,Aircraft,0.732
141,Denmark,Import,Aircraft,3.104299649773417
142,Denmark,Export,Aircraft,0.05705867312847949
143,Denmark,Overall,Aircraft,3.161
144,Djibouti,Import,Aircraft,0.03239216197160995
145,Djibouti,Export,Aircraft,0.0
146,Djibouti,Overall,Aircraft,0.032
147,Dominican Republic,Import,Aircraft,0.0807191778163506
148,Dominican Republic,Export,Aircraft,0.0006183641091523185
149,Dominican Republic,Overall,Aircraft,0.08099999999999999
150,East Germany (GDR),Import,Aircraft,6.201023713279281
151,East Germany (GDR),Export,Aircraft,0.009392134110709743
152,East Germany (GDR),Overall,Aircraft,6.21
153,Ecuador,Import,Aircraft,1.0362444181267316
154,Ecuador,Export,Aircraft,0.0011900592289346506
155,Ecuador,Overall,Aircraft,1.0370000000000001
156,Egypt,Import,Aircraft,18.57249305503758
157,Egypt,Export,Aircraft,0.04655231689656133
158,Egypt,Overall,Aircraft,18.619
159,El Salvador,Import,Aircraft,0.15072804401305595
160,El Salvador,Export,Aircraft,0.0
161,El Salvador,Overall,Aircraft,0.151
162,Equatorial Guinea,Import,Aircraft,0.04176731279314221
163,Equatorial Guinea,Export,Aircraft,0.0
164,Equatorial Guinea,Overall,Aircraft,0.042
165,Eritrea,Import,Aircraft,0.28168990316709186
166,Eritrea,Export,Aircraft,0.0
167,Eritrea,Overall,Aircraft,0.28200000000000003
168,Estonia,Import,Aircraft,0.005717971244092438
169,Estonia,Export,Aircraft,0.0
170,Estonia,Overall,Aircraft,0.006
171,Ethiopia,Import,Aircraft,1.948108449077082
172,Ethiopia,Export,Aircraft,0.005104420712342251
