Country,Exports,Imports,Gross_Deals,Normalized_Exports,Normalized_Imports,Normalized_Gross,Country_Score,Aircraft_Score,Aircraft_Normalized_Exports,Aircraft_Normalized_Imports,Aircraft_Normalized_Gross,Specialized Equipment_Score,Specialized Equipment_Normalized_Exports,Specialized Equipment_Normalized_Imports,Specialized Equipment_Normalized_Gross,Missiles/Rockets/Bombs_Score,Missiles/Rockets/Bombs_Normalized_Exports,Missiles/Rockets/Bombs_Normalized_Imports,Missiles/Rockets/Bombs_Normalized_Gross,Helicopters_Score,Helicopters_Normalized_Exports,Helicopters_Normalized_Imports,Helicopters_Normalized_Gross,Unmanned Vehicles_Score,Unmanned Vehicles_Normalized_Exports,Unmanned Vehicles_Normalized_Imports,Unmanned Vehicles_Normalized_Gross,Ground Vehicles/Artillery_Score,Ground Vehicles/Artillery_Normalized_Exports,Ground Vehicles/Artillery_Normalized_Imports,Ground Vehicles/Artillery_Normalized_Gross,Radar/Detection Systems_Score,Radar/Detection Systems_Normalized_Exports,Radar/Detection Systems_Normalized_Imports,Radar/Detection Systems_Normalized_Gross,Naval Vessels_Score,Naval Vessels_Normalized_Exports,Naval Vessels_Normalized_Imports,Naval Vessels_Normalized_Gross,ZZ_loop_score,ZZ_loop_export_score,ZZ_loop_import_score
ANC (South Africa)*,0.0,0.24,0.0,0.0,1.7121245239580438e-06,0.0,0.0,,,,,,,,,0.001,0.0,0.0011741516387487653,0.0,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.0,15079.26,0.0,0.0,0.10757321187141489,0.0,4.626,3.161,0.0,7.3512482032198445,0.0,0.16,0.0,0.37307441653994733,0.0,7.346,0.0,17.083710651854744,0.0,9.272,0.0,21.56275886939351,0.0,1.114,0.0,2.591792656587473,0.0,7.8469999999999995,0.0,18.24866363002512,0.0,0.479,0.0,1.1145699715295811,0.0,,,,,3.161,0.0,7.3512482032198445
African Union**,0.0,88.58,0.0,0.0,0.0006319166263841813,0.0,0.027,,,,,,,,,,,,,0.163,0.0,0.3789129292931053,0.0,0.015,0.0,0.03599712023038157,0.0,0.076,0.0,0.17699688694175625,0.0,,,,,,,,,,,
Albania,1.2,2218.94,2220.14,1.595171140461492e-06,0.01582958996329776,0.0027951574055952626,0.681,0.434,0.0,1.0103144209178792,0.0,,,,,0.181,0.0,0.4219118221903897,0.0,0.475,0.0,1.1054675829100686,0.0,0.371,0.0,0.8639308855291578,0.0,1.506,0.0010922242281729225,3.5010442737277803,0.7736196872848082,,,,,1.2710000000000001,0.0,2.9563638329168254,0.0,0.434,0.0,1.0103144209178792
Algeria,12.06,33663.9,33675.96,1.6031469961637995e-05,0.24015328650862997,0.04239805101684121,10.328,8.638,0.003008921683064906,20.085226189266805,2.9688145665935464,1.7229999999999999,0.0,4.007008132077789,0.0,8.474,0.0,19.707010027744225,0.0,11.094999999999999,0.0,25.802141250029397,0.0,13.736999999999998,0.0,31.947444204463643,0.0,15.104000000000001,0.00027305605704323064,35.12419821754095,7.751094302561737,2.943,0.0,6.8451542929845965,0.0,11.755,0.0,27.33772573950785,0.0,8.638,0.003008921683064906,20.085226189266805
Amal (Lebanon)*,0.0,63.120000000000005,0.0,0.0,0.00045028874980096553,0.0,0.019,,,,,,,,,,,,,,,,,,,,,0.107,0.0,0.24948734934711153,0.0,,,,,,,,,,,
Angola,4.569999999999999,8848.93,8853.5,6.074943426590848e-06,0.06312695859911689,0.011146561068418053,2.715,2.714,0.0007292029589060358,6.3111154161459275,0.9326407905117104,0.553,0.0,1.2850996911510526,0.0,2.387,0.0,5.550508334275101,0.0,4.952,0.0,11.51686249641775,0.0,2.3619999999999997,0.0,5.4931605471562275,0.0,2.839,0.0015655213937145226,6.600861347958962,1.4581077385954635,2.888,0.0,6.717402413206937,0.0,0.772,0.0,1.796370687186541,0.0,2.714,0.0007292029589060358,6.3111154161459275
Anti-Castro rebels (Cuba)*,0.0,2.2,0.0,0.0,1.5694474802948737e-05,0.0,0.001,,,,,,,,,,,,,,,,,,,,,0.004,0.0,0.008695693418308703,0.0,,,,,,,,,,,
Antigua and Barbuda,0.0,0.54,0.0,0.0,3.852280178905599e-06,0.0,0.0,0.0,0.0,0.0009112573697939783,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009112573697939783
Argentina,129.07,11451.73,11580.8,0.00017157394924947065,0.08169494906144187,0.014580233175708567,3.5229999999999997,2.243,0.017761848914827023,5.192816996907462,0.7840956529814943,1.512,0.00211497721112055,3.5129206532108013,1.0518371408611744,1.3379999999999999,0.0,3.1121867644734977,0.0,2.751,0.013436794825353204,6.379500026567459,0.9747236140184844,,,,,2.59,0.024456720842505365,5.991688498127265,1.345618188819688,4.251,0.0,9.885257954509902,0.0,10.991,0.04629736039375741,25.49799834623493,8.80368201167419,2.243,0.017761848914827023,5.192816996907462
Armenia,4.4,1071.8,1076.2,5.8489608483588045e-06,0.007646062769909297,0.0013549363553206654,0.329,0.22899999999999998,0.0011257870242759854,0.531229296316934,0.07954037425291043,,,,,0.996,0.0,2.3160141074319394,0.0,0.109,0.0,0.25260861952873687,0.0,,,,,0.327,0.0,0.7612684328937529,0.0,0.348,0.0,0.8082261781851933,0.0,,,,,0.22899999999999998,0.0011257870242759854,0.531229296316934
Aruba,17.8,0.0,0.0,2.36617052501788e-05,0.0,0.0,0.001,0.003,0.004554320234571032,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.004554320234571032,0.0
Australia,3492.17,44992.99,48485.159999999996,0.004642174001321174,0.32097333993832927,0.06104284145840857,14.066,15.797,0.2804284305334012,36.364974101728045,5.6429460010316825,8.749,0.21905121115177129,20.05605561170037,6.150266180419528,9.137,0.35041534511051936,20.78336461958221,3.434899006529838,13.630999999999998,0.06847280954878969,31.610310264359278,4.831552267514865,1.862,0.032739747476904245,4.286057115430766,1.7063454869247354,4.332,0.16368800432884867,9.856608015532089,2.331910024060047,7.649,0.0,17.7894492590391,0.0,26.613999999999997,3.4272770256736917,57.35034173594731,23.000009876640757,15.797,0.2804284305334012,36.364974101728045
Austria,1581.9,4017.17,5599.07,0.002102834355913362,0.028657896974618895,0.007049232019127743,1.352,1.126,0.03947930405586012,2.565391997607781,0.41726800593353247,0.629,0.025178300132387504,1.429961181370836,0.4452048870873286,0.619,0.0,1.4402926768651518,0.0,1.63,0.023802322262054244,3.7582065136439144,0.5894334328702417,0.6709999999999999,1.17673295279308,0.0,0.0,2.427,1.256458344615858,3.9793074117347587,2.0821513004941528,3.6060000000000003,0.0,8.384955521488388,0.0,,,,,1.126,0.03947930405586012,2.565391997607781
Azerbaijan,0.0,4316.86,0.0,0.0,0.03079584113538967,0.0,1.324,0.262,0.0,0.6103061858512782,0.0,0.021,0.0,0.04958584017303098,0.0,2.028,0.0,4.715441904199989,0.0,3.108,0.0,7.227916562501906,0.0,10.046,0.0,23.362131029517638,0.0,2.5839999999999996,0.0,6.0090008332055325,0.0,0.291,0.0,0.6778671171875815,0.0,0.9650000000000001,0.0,2.2448883363560355,0.0,0.262,0.0,0.6103061858512782
Bahamas,0.24,163.07999999999998,163.32,3.190342280922984e-07,0.0011633886140294907,0.00020561996427334236,0.05,0.004,6.140656496050828e-05,0.01029383325137642,0.0015798432730684592,,,,,,,,,,,,,,,,,0.0,0.0,0.0011067246168756533,0.0,,,,,0.387,0.0,0.9010604567289723,0.0,0.004,6.140656496050828e-05,0.01029383325137642
