,Category,Sub-category,Description
0,Aircraft,Fighter/Combat Aircraft,fighter aircraft
1,Aircraft,Fighter/Combat Aircraft,trainer/combat aircraft
2,Aircraft,Fighter/Combat Aircraft,FGA aircraft
3,Aircraft,Fighter/Combat Aircraft,FGA/EW aircraft
4,Aircraft,Fighter/Combat Aircraft,ground attack aircraft
5,Aircraft,Fighter/Combat Aircraft,ASW aircraft
6,Aircraft,Bomber/Heavy Aircraft,bomber aircraft
7,Aircraft,Bomber/Heavy Aircraft,heavy transport aircraft
8,Aircraft,Reconnaissance/Surveillance Aircraft,reconnaissance aircraft
9,Aircraft,Reconnaissance/Surveillance Aircraft,AEW&C aircraft
10,Aircraft,Reconnaissance/Surveillance Aircraft,SIGINT aircraft
11,Aircraft,Reconnaissance/Surveillance Aircraft,AGS aircraft
12,Aircraft,Reconnaissance/Surveillance Aircraft,light aircraft
13,Aircraft,Reconnaissance/Surveillance Aircraft,AEW aircraft
14,Aircraft,Reconnaissance/Surveillance Aircraft,AEW/AGS aircraft
15,Aircraft,Reconnaissance/Surveillance Aircraft,reconnaissance/SIGINT aircraft
16,Aircraft,Reconnaissance/Surveillance Aircraft,airship
17,Aircraft,Trainer Aircraft,trainer aircraft
18,Aircraft,Trainer Aircraft,trainer/light aircraft
19,Aircraft,Trainer Aircraft,light/trainer aircraft
20,Aircraft,Trainer Aircraft,target tow aircraft
21,Aircraft,Transport Aircraft,transport aircraft
22,Aircraft,Transport Aircraft,light transport aircraft
23,Aircraft,Transport Aircraft,tanker/transport aircraft
24,Aircraft,Transport Aircraft,transport ac/helicopter
25,Aircraft,Transport Aircraft,transport/trainer aircraft
26,Helicopters,Combat Helicopters,combat helicopter
27,Helicopters,Combat Helicopters,ASW helicopter
28,Helicopters,Combat Helicopters,anti-ship helicopter
29,Helicopters,Combat Helicopters,SIGINT helicopter
30,Helicopters,Transport/Utility Helicopters,transport helicopter
31,Helicopters,Transport/Utility Helicopters,light helicopter
32,Helicopters,Specialized Helicopters,AEW helicopter
33,Helicopters,Specialized Helicopters,ASW Helicopter
34,Helicopters,Specialized Helicopters,helicopter
35,Unmanned Vehicles,UAV/Drone,UAV
36,Unmanned Vehicles,UAV/Drone,armed UAV
37,Unmanned Vehicles,UAV/Drone,light aircraft/UAV
38,Unmanned Vehicles,UAV/Drone,loitering munition
39,Unmanned Vehicles,Reconnaissance/Surveillance UAV,reconnaissance AV
