,Country,iden
0,Brazil,True
1,Afghanistan,True
2,Russia,True
3,United Kingdom,True
4,United States,True
5,Norway,True
6,India,True
7,Canada,True
8,Slovakia,True
9,Ukraine,True
10,Czechia,True
11,Switzerland,True
12,Belarus,True
13,Bosnia-Herzegovina,True
14,China,True
15,Italy,True
16,Turkiye,True
17,South Africa,True
18,Egypt,True
19,Israel,True
20,Albania,True
21,Germany,True
22,France,True
23,Algeria,True
24,Finland,True
25,UAE,True
26,Spain,True
27,Romania,True
28,Netherlands,True
29,Morocco,True
30,Sweden,True
31,Denmark,True
32,Poland,True
33,Syria,True
34,Angola,True
35,Hungary,True
36,Moldova,True
37,Peru,True
38,Bulgaria,True
39,Kazakhstan,True
40,Portugal,True
41,Lithuania,True
42,Cuba,True
43,Antigua and Barbuda,True
44,Dominican Republic,True
45,Argentina,True
46,Austria,True
47,Ireland,True
48,Belgium,True
49,Armenia,True
50,Montenegro,True
51,Jordan,True
52,Australia,True
53,South Korea,True
54,New Zealand,True
55,Azerbaijan,True
56,Georgia,True
57,Pakistan,True
58,Bahamas,True
59,Bahrain,True
60,Oman,True
61,Malta,True
62,Bangladesh,True
63,Singapore,True
64,Serbia,True
65,Malaysia,True
66,Barbados,True
67,Belize,True
68,Taiwan,True
69,Benin,True
70,Gabon,True
71,Cote d'Ivoire,True
72,Indonesia,True
73,Bhutan,True
74,Thailand,True
75,Bolivia,True
76,Uruguay,True
77,Venezuela,True
78,Nicaragua,True
79,Iran,True
80,Qatar,True
81,Botswana,True
82,Kenya,True
83,Kuwait,True
84,Japan,True
85,Brunei,True
86,Burkina Faso,True
87,Philippines,True
88,Libya,True
89,Burundi,True
90,Cabo Verde,True
91,Malawi,True
92,Cambodia,True
93,Viet Nam,True
94,Seychelles,True
95,Cameroon,True
96,Greece,True
97,Kyrgyzstan,True
98,Central African Republic,True
99,Nigeria,True
100,Chad,True
101,Chile,True
102,Mexico,True
103,Uzbekistan,True
104,Colombia,True
105,Comoros,True
106,Congo,True
107,Costa Rica,True
108,Panama,True
109,Croatia,True
110,Cyprus,True
111,Zimbabwe,True
112,Djibouti,True
113,Iraq,True
114,Saudi Arabia,True
115,DR Congo,True
116,North Korea,True
117,Ghana,True
118,Ecuador,True
119,El Salvador,True
120,Equatorial Guinea,True
121,Eritrea,True
122,Ethiopia,True
123,Estonia,True
124,eSwatini,True
125,Fiji,True
126,Iceland,True
127,Senegal,True
128,Gambia,True
129,Grenada,True
130,Guatemala,True
131,Guinea,True
132,Guinea-Bissau,True
133,Guyana,True
134,Haiti,True
135,Honduras,True
136,Slovenia,True
137,Aruba,True
138,Uganda,True
139,Jamaica,True
140,Lebanon,True
141,Sudan,True
142,Kiribati,True
143,Kosovo,True
144,Laos,True
145,Latvia,True
146,Lesotho,True
147,Liberia,True
148,Zambia,True
149,Luxembourg,True
150,Madagascar,True
151,Maldives,True
152,Sri Lanka,True
153,Mali,True
154,Marshall Islands,True
155,Mauritania,True
156,Niger,True
157,Mauritius,True
158,Micronesia,True
159,Mongolia,True
160,Mozambique,True
161,Myanmar,True
162,Namibia,True
163,Nepal,True
164,North Macedonia,True
165,Northern Cyprus,True
166,Palau,True
167,Palestine,True
168,Papua New Guinea,True
169,Paraguay,True
170,Rwanda,True
171,Saint Kitts and Nevis,True
172,Saint Vincent,True
173,Samoa,True
174,Sierra Leone,True
175,Solomon Islands,True
176,Somalia,True
177,South Sudan,True
178,Suriname,True
179,Tajikistan,True
180,Tanzania,True
181,Timor-Leste,True
182,Togo,True
183,Tonga,True
184,Trinidad and Tobago,True
185,Tunisia,True
186,Turkmenistan,True
187,Tuvalu,True
188,Vanuatu,True
189,Western Sahara,True
190,Yemen,True
